job.id,submitted,started,done,error,mem.used,batch.id,log.file,job.hash,job.name,repl,time.queued,time.running,problem,algorithm,tags,algo,task,start.hours,end.hours
1,2025-03-25T12:04:45.542700Z,2025-03-25T12:43:21.480400Z,2025-03-25T21:20:00.961800Z,,,54778789_1,job77ad22aa390c5e2ebde0905bd77bffd1.log_1,job77ad22aa390c5e2ebde0905bd77bffd1,0f4f5711-194b-4ba2-bd7e-59de9097a907,1,2315.93770003319,30999.481400013,ce2f347d4dd7afc8,run_learner,,torch_conv,MNIST_EMNIST_rot,2.27782461378309e-06,8.61096933338377
2,2025-03-25T12:04:45.542700Z,2025-03-25T12:43:21.473700Z,2025-03-25T21:30:57.473500Z,,,54778789_2,job77ad22aa390c5e2ebde0905bd77bffd1.log_2,job77ad22aa390c5e2ebde0905bd77bffd1,0f4f5711-194b-4ba2-bd7e-59de9097a907,2,2315.93099999428,31655.9997999668,ce2f347d4dd7afc8,run_learner,,torch_conv,MNIST_EMNIST_rot,4.16702694363064e-07,8.79333369447125
3,2025-03-25T12:04:45.542700Z,2025-03-25T12:43:21.473700Z,2025-03-25T21:13:02.039800Z,,,54778789_3,job77ad22aa390c5e2ebde0905bd77bffd1.log_3,job77ad22aa390c5e2ebde0905bd77bffd1,0f4f5711-194b-4ba2-bd7e-59de9097a907,3,2315.93099999428,30580.5660998821,ce2f347d4dd7afc8,run_learner,,torch_conv,MNIST_EMNIST_rot,4.16702694363064e-07,8.4946021111144
4,2025-03-25T12:04:45.542700Z,2025-03-25T12:43:21.473Z,2025-03-25T21:01:17.586100Z,,,54778789_4,job77ad22aa390c5e2ebde0905bd77bffd1.log_4,job77ad22aa390c5e2ebde0905bd77bffd1,0f4f5711-194b-4ba2-bd7e-59de9097a907,4,2315.93029999733,29876.1131000519,ce2f347d4dd7afc8,run_learner,,torch_conv,MNIST_EMNIST_rot,2.22259097629123e-07,8.29892052782907
5,2025-03-25T12:04:45.542700Z,2025-03-25T12:43:21.473Z,2025-03-25T21:30:58.910300Z,,,54778789_5,job77ad22aa390c5e2ebde0905bd77bffd1.log_5,job77ad22aa390c5e2ebde0905bd77bffd1,0f4f5711-194b-4ba2-bd7e-59de9097a907,5,2315.93029999733,31657.4372999668,ce2f347d4dd7afc8,run_learner,,torch_conv,MNIST_EMNIST_rot,2.22259097629123e-07,8.79373280558321
6,2025-03-25T12:04:45.542700Z,2025-03-25T12:43:21.473Z,2025-03-25T21:09:58.744Z,,,54778789_6,job77ad22aa390c5e2ebde0905bd77bffd1.log_6,job77ad22aa390c5e2ebde0905bd77bffd1,0f4f5711-194b-4ba2-bd7e-59de9097a907,6,2315.93029999733,30397.2709999085,ce2f347d4dd7afc8,run_learner,,torch_conv,MNIST_EMNIST_rot,2.22259097629123e-07,8.44368661112256
7,2025-03-25T12:04:45.542700Z,2025-03-25T12:43:21.474900Z,2025-03-25T21:26:27.224200Z,,,54778789_7,job77ad22aa390c5e2ebde0905bd77bffd1.log_7,job77ad22aa390c5e2ebde0905bd77bffd1,0f4f5711-194b-4ba2-bd7e-59de9097a907,7,2315.93219995499,31385.7493000031,ce2f347d4dd7afc8,run_learner,,torch_conv,MNIST_EMNIST_rot,7.50025113423665e-07,8.71826444447041
8,2025-03-25T12:04:45.542700Z,2025-03-25T12:43:21.472200Z,2025-03-25T20:59:08.278200Z,,,54778789_8,job77ad22aa390c5e2ebde0905bd77bffd1.log_8,job77ad22aa390c5e2ebde0905bd77bffd1,0f4f5711-194b-4ba2-bd7e-59de9097a907,8,2315.92949986458,29746.8059999943,ce2f347d4dd7afc8,run_learner,,torch_conv,MNIST_EMNIST_rot,0,8.26300166666508
9,2025-03-25T12:04:45.542700Z,2025-03-25T12:43:21.472200Z,2025-03-25T20:46:52.465300Z,,,54778789_9,job77ad22aa390c5e2ebde0905bd77bffd1.log_9,job77ad22aa390c5e2ebde0905bd77bffd1,0f4f5711-194b-4ba2-bd7e-59de9097a907,9,2315.92949986458,29010.9931001663,ce2f347d4dd7afc8,run_learner,,torch_conv,MNIST_EMNIST_rot,0,8.05860919449065
10,2025-03-25T12:04:45.542700Z,2025-03-25T12:43:42.515100Z,2025-03-25T20:35:05.068500Z,,,54778789_10,job77ad22aa390c5e2ebde0905bd77bffd1.log_10,job77ad22aa390c5e2ebde0905bd77bffd1,0f4f5711-194b-4ba2-bd7e-59de9097a907,10,2336.97239995003,28282.5534000397,ce2f347d4dd7afc8,run_learner,,torch_conv,MNIST_EMNIST_rot,0.00584525002373589,7.86211008336809
11,2025-03-25T12:04:45.542700Z,2025-03-25T12:46:37.811Z,2025-03-25T22:37:36.627800Z,,,54778789_11,job77ad22aa390c5e2ebde0905bd77bffd1.log_11,job77ad22aa390c5e2ebde0905bd77bffd1,0f4f5711-194b-4ba2-bd7e-59de9097a907,11,2512.26830005646,35458.8167998791,ce2f347d4dd7afc8,run_learner,,torch_conv,MNIST_EMNIST_rot,0.0545385556088554,9.9042098889086
12,2025-03-25T12:04:45.542700Z,2025-03-25T12:46:37.679800Z,2025-03-25T21:22:09.244400Z,,,54778789_12,job77ad22aa390c5e2ebde0905bd77bffd1.log_12,job77ad22aa390c5e2ebde0905bd77bffd1,0f4f5711-194b-4ba2-bd7e-59de9097a907,12,2512.13709998131,30931.5645999908,ce2f347d4dd7afc8,run_learner,,torch_conv,MNIST_EMNIST_rot,0.054502111143536,8.64660338891877
13,2025-03-25T12:04:45.542700Z,2025-03-25T12:46:36.966800Z,2025-03-25T20:55:43.253700Z,,,54778789_13,job77ad22aa390c5e2ebde0905bd77bffd1.log_13,job77ad22aa390c5e2ebde0905bd77bffd1,0f4f5711-194b-4ba2-bd7e-59de9097a907,13,2511.42409992218,29346.2869000435,ce2f347d4dd7afc8,run_learner,,torch_conv,MNIST_EMNIST_rot,0.0543040555715561,8.20605041669475
14,2025-03-25T12:04:45.542700Z,2025-03-25T12:46:36.960600Z,2025-03-25T20:37:56.009200Z,,,54778789_14,job77ad22aa390c5e2ebde0905bd77bffd1.log_14,job77ad22aa390c5e2ebde0905bd77bffd1,0f4f5711-194b-4ba2-bd7e-59de9097a907,14,2511.41789984703,28279.0486001968,ce2f347d4dd7afc8,run_learner,,torch_conv,MNIST_EMNIST_rot,0.054302333328459,7.90959361116091
15,2025-03-25T12:04:45.542700Z,2025-03-25T12:46:36.960600Z,2025-03-25T20:24:21.752600Z,,,54778789_15,job77ad22aa390c5e2ebde0905bd77bffd1.log_15,job77ad22aa390c5e2ebde0905bd77bffd1,0f4f5711-194b-4ba2-bd7e-59de9097a907,15,2511.41789984703,27464.7920000553,ce2f347d4dd7afc8,run_learner,,torch_conv,MNIST_EMNIST_rot,0.054302333328459,7.68341122223271
16,2025-03-25T12:04:45.542700Z,2025-03-25T12:46:36.960600Z,2025-03-25T20:39:59.195900Z,,,54778789_16,job77ad22aa390c5e2ebde0905bd77bffd1.log_16,job77ad22aa390c5e2ebde0905bd77bffd1,0f4f5711-194b-4ba2-bd7e-59de9097a907,16,2511.41789984703,28402.2353000641,ce2f347d4dd7afc8,run_learner,,torch_conv,MNIST_EMNIST_rot,0.054302333328459,7.94381213890182
17,2025-03-25T12:04:45.542700Z,2025-03-25T12:46:36.960600Z,2025-03-25T20:28:15.558100Z,,,54778789_17,job77ad22aa390c5e2ebde0905bd77bffd1.log_17,job77ad22aa390c5e2ebde0905bd77bffd1,0f4f5711-194b-4ba2-bd7e-59de9097a907,17,2511.41789984703,27698.5975000858,ce2f347d4dd7afc8,run_learner,,torch_conv,MNIST_EMNIST_rot,0.054302333328459,7.74835719446341
18,2025-03-25T12:04:45.542700Z,2025-03-25T12:46:39.001200Z,2025-03-25T20:58:18.371200Z,,,54778789_18,job77ad22aa390c5e2ebde0905bd77bffd1.log_18,job77ad22aa390c5e2ebde0905bd77bffd1,0f4f5711-194b-4ba2-bd7e-59de9097a907,18,2513.45849990845,29499.370000124,ce2f347d4dd7afc8,run_learner,,torch_conv,MNIST_EMNIST_rot,0.0548691666788525,8.24913861115774
19,2025-03-25T12:04:45.542700Z,2025-03-25T12:46:37.065Z,2025-03-25T20:57:22.758800Z,,,54778789_19,job77ad22aa390c5e2ebde0905bd77bffd1.log_19,job77ad22aa390c5e2ebde0905bd77bffd1,0f4f5711-194b-4ba2-bd7e-59de9097a907,19,2511.52230000496,29445.6937999725,ce2f347d4dd7afc8,run_learner,,torch_conv,MNIST_EMNIST_rot,0.054331333372328,8.23369072225359
20,2025-03-25T12:04:45.542700Z,2025-03-25T12:46:37.065500Z,2025-03-25T21:34:54.976Z,,,54778789_20,job77ad22aa390c5e2ebde0905bd77bffd1.log_20,job77ad22aa390c5e2ebde0905bd77bffd1,0f4f5711-194b-4ba2-bd7e-59de9097a907,20,2511.52279996872,31697.9105000496,ce2f347d4dd7afc8,run_learner,,torch_conv,MNIST_EMNIST_rot,0.0543314722511503,8.85930661115381
