task.i,learner.i,resampling.i,iteration,start.time,end.time,process,task.id,learner.id,resampling.id,test.subset,train.subsets,groups,test.fold,seed,n.train.groups
1,1,1,29,2025-05-31T18:09:31.299252Z,2025-05-31T18:09:44.472995Z,64,MNIST_EMNIST_rot,featureless,same_other_sizes_cv,EMNIST_rot,other,63000,5,1,63000
1,1,1,30,2025-05-31T18:09:31.404393Z,2025-05-31T18:09:44.705033Z,67,MNIST_EMNIST_rot,featureless,same_other_sizes_cv,MNIST,other,63000,5,1,63000
1,1,1,31,2025-05-31T18:09:31.881003Z,2025-05-31T18:09:46.130321Z,91,MNIST_EMNIST_rot,featureless,same_other_sizes_cv,EMNIST_rot,other,63000,6,1,63000
1,1,1,32,2025-05-31T18:09:32.113287Z,2025-05-31T18:09:46.165708Z,98,MNIST_EMNIST_rot,featureless,same_other_sizes_cv,MNIST,other,63000,6,1,63000
1,1,1,33,2025-05-31T18:09:32.122093Z,2025-05-31T18:09:46.173476Z,97,MNIST_EMNIST_rot,featureless,same_other_sizes_cv,EMNIST_rot,other,63000,7,1,63000
1,1,1,34,2025-05-31T18:09:33.245713Z,2025-05-31T18:09:46.391098Z,68,MNIST_EMNIST_rot,featureless,same_other_sizes_cv,MNIST,other,63000,7,1,63000
1,1,1,35,2025-05-31T18:09:33.719247Z,2025-05-31T18:09:52.418088Z,70,MNIST_EMNIST_rot,featureless,same_other_sizes_cv,EMNIST_rot,other,63000,8,1,63000
1,1,1,36,2025-05-31T18:09:33.731135Z,2025-05-31T18:09:47.793831Z,73,MNIST_EMNIST_rot,featureless,same_other_sizes_cv,MNIST,other,63000,8,1,63000
1,1,1,37,2025-05-31T18:09:35.303607Z,2025-05-31T18:09:48.582319Z,55,MNIST_EMNIST_rot,featureless,same_other_sizes_cv,EMNIST_rot,other,63000,9,1,63000
1,1,1,38,2025-05-31T18:09:35.851777Z,2025-05-31T18:09:49.966637Z,72,MNIST_EMNIST_rot,featureless,same_other_sizes_cv,MNIST,other,63000,9,1,63000
1,1,1,39,2025-05-31T18:09:37.266094Z,2025-05-31T18:09:50.462256Z,13,MNIST_EMNIST_rot,featureless,same_other_sizes_cv,EMNIST_rot,other,63000,10,1,63000
1,1,1,40,2025-05-31T18:09:37.295959Z,2025-05-31T18:09:50.415149Z,61,MNIST_EMNIST_rot,featureless,same_other_sizes_cv,MNIST,other,63000,10,1,63000
1,1,1,41,2025-05-31T18:09:37.405925Z,2025-05-31T18:09:50.369570Z,96,MNIST_EMNIST_rot,featureless,same_other_sizes_cv,EMNIST_rot,same,63000,1,1,63000
1,1,1,42,2025-05-31T18:09:37.985922Z,2025-05-31T18:09:55.763142Z,34,MNIST_EMNIST_rot,featureless,same_other_sizes_cv,MNIST,same,63000,1,1,63000
1,1,1,43,2025-05-31T18:09:39.267367Z,2025-05-31T18:09:52.449554Z,10,MNIST_EMNIST_rot,featureless,same_other_sizes_cv,EMNIST_rot,same,63000,2,1,63000
1,1,1,44,2025-05-31T18:09:39.330665Z,2025-05-31T18:09:52.510958Z,65,MNIST_EMNIST_rot,featureless,same_other_sizes_cv,MNIST,same,63000,2,1,63000
1,1,1,45,2025-05-31T18:09:39.844942Z,2025-05-31T18:09:53.991593Z,83,MNIST_EMNIST_rot,featureless,same_other_sizes_cv,EMNIST_rot,same,63000,3,1,63000
1,1,1,46,2025-05-31T18:09:41.347605Z,2025-05-31T18:09:55.626733Z,30,MNIST_EMNIST_rot,featureless,same_other_sizes_cv,MNIST,same,63000,3,1,63000
1,1,1,47,2025-05-31T18:09:41.355771Z,2025-05-31T18:09:55.546672Z,31,MNIST_EMNIST_rot,featureless,same_other_sizes_cv,EMNIST_rot,same,63000,4,1,63000
