,feature_name,test_fold,target_img,data_for_img,test_nrow,train_nrow,train_name,algorithm,error_percent
0,easy,0,1,400,134,664,all,featureless,49.25373134328358
0,easy,0,1,400,134,664,all,linear_model,26.865671641791046
0,easy,0,1,400,134,664,all,nearest_neighbors,28.35820895522388
0,easy,0,1,400,134,266,same,featureless,50.74626865671642
0,easy,0,1,400,134,266,same,linear_model,26.865671641791046
0,easy,0,1,400,134,266,same,nearest_neighbors,29.1044776119403
0,easy,0,1,400,134,398,other,featureless,49.25373134328358
0,easy,0,1,400,134,398,other,linear_model,32.83582089552239
0,easy,0,1,400,134,398,other,nearest_neighbors,31.343283582089555
0,easy,0,1,400,134,266,all_small,featureless,50.74626865671642
0,easy,0,1,400,134,266,all_small,linear_model,28.35820895522388
0,easy,0,1,400,134,266,all_small,nearest_neighbors,32.83582089552239
0,easy,0,1,400,134,266,other_small,featureless,49.25373134328358
0,easy,0,1,400,134,266,other_small,linear_model,35.07462686567165
0,easy,0,1,400,134,266,other_small,nearest_neighbors,33.582089552238806
0,easy,0,2,400,134,664,all,featureless,52.98507462686567
0,easy,0,2,400,134,664,all,linear_model,16.417910447761194
0,easy,0,2,400,134,664,all,nearest_neighbors,20.8955223880597
0,easy,0,2,400,134,266,same,featureless,52.98507462686567
0,easy,0,2,400,134,266,same,linear_model,17.91044776119403
0,easy,0,2,400,134,266,same,nearest_neighbors,14.17910447761194
0,easy,0,2,400,134,398,other,featureless,47.01492537313433
0,easy,0,2,400,134,398,other,linear_model,14.17910447761194
0,easy,0,2,400,134,398,other,nearest_neighbors,21.641791044776117
0,easy,0,2,400,134,266,all_small,featureless,52.98507462686567
0,easy,0,2,400,134,266,all_small,linear_model,17.16417910447761
0,easy,0,2,400,134,266,all_small,nearest_neighbors,19.402985074626866
0,easy,0,2,400,134,266,other_small,featureless,47.01492537313433
0,easy,0,2,400,134,266,other_small,linear_model,15.671641791044777
0,easy,0,2,400,134,266,other_small,nearest_neighbors,20.149253731343283
0,easy,0,3,100,34,664,all,featureless,47.05882352941176
0,easy,0,3,100,34,664,all,linear_model,2.941176470588235
0,easy,0,3,100,34,664,all,nearest_neighbors,5.88235294117647
0,easy,0,3,100,34,66,same,featureless,52.94117647058824
0,easy,0,3,100,34,66,same,linear_model,5.88235294117647
0,easy,0,3,100,34,66,same,nearest_neighbors,2.941176470588235
0,easy,0,3,100,34,598,other,featureless,47.05882352941176
0,easy,0,3,100,34,598,other,linear_model,2.941176470588235
0,easy,0,3,100,34,598,other,nearest_neighbors,2.941176470588235
0,easy,0,3,100,34,66,all_small,featureless,52.94117647058824
0,easy,0,3,100,34,66,all_small,linear_model,2.941176470588235
0,easy,0,3,100,34,66,all_small,nearest_neighbors,8.823529411764707
0,easy,0,3,100,34,66,other_small,featureless,47.05882352941176
0,easy,0,3,100,34,66,other_small,linear_model,5.88235294117647
0,easy,0,3,100,34,66,other_small,nearest_neighbors,5.88235294117647
0,easy,0,4,100,34,664,all,featureless,50.0
0,easy,0,4,100,34,664,all,linear_model,8.823529411764707
0,easy,0,4,100,34,664,all,nearest_neighbors,5.88235294117647
0,easy,0,4,100,34,66,same,featureless,50.0
0,easy,0,4,100,34,66,same,linear_model,0.0
0,easy,0,4,100,34,66,same,nearest_neighbors,0.0
0,easy,0,4,100,34,598,other,featureless,50.0
0,easy,0,4,100,34,598,other,linear_model,11.76470588235294
0,easy,0,4,100,34,598,other,nearest_neighbors,5.88235294117647
0,easy,0,4,100,34,66,all_small,featureless,50.0
0,easy,0,4,100,34,66,all_small,linear_model,11.76470588235294
0,easy,0,4,100,34,66,all_small,nearest_neighbors,5.88235294117647
0,easy,0,4,100,34,66,other_small,featureless,50.0
0,easy,0,4,100,34,66,other_small,linear_model,35.294117647058826
0,easy,0,4,100,34,66,other_small,nearest_neighbors,35.294117647058826
0,easy,1,1,400,133,668,all,featureless,54.88721804511278
0,easy,1,1,400,133,668,all,linear_model,34.58646616541353
0,easy,1,1,400,133,668,all,nearest_neighbors,34.58646616541353
0,easy,1,1,400,133,267,same,featureless,54.88721804511278
0,easy,1,1,400,133,267,same,linear_model,36.09022556390977
0,easy,1,1,400,133,267,same,nearest_neighbors,36.84210526315789
0,easy,1,1,400,133,401,other,featureless,54.88721804511278
0,easy,1,1,400,133,401,other,linear_model,36.09022556390977
0,easy,1,1,400,133,401,other,nearest_neighbors,35.338345864661655
0,easy,1,1,400,133,267,all_small,featureless,54.88721804511278
0,easy,1,1,400,133,267,all_small,linear_model,36.09022556390977
0,easy,1,1,400,133,267,all_small,nearest_neighbors,39.849624060150376
0,easy,1,1,400,133,267,other_small,featureless,54.88721804511278
0,easy,1,1,400,133,267,other_small,linear_model,41.35338345864661
0,easy,1,1,400,133,267,other_small,nearest_neighbors,39.097744360902254
0,easy,1,2,400,133,668,all,featureless,47.368421052631575
0,easy,1,2,400,133,668,all,linear_model,15.789473684210526
0,easy,1,2,400,133,668,all,nearest_neighbors,18.045112781954884
0,easy,1,2,400,133,267,same,featureless,52.63157894736842
0,easy,1,2,400,133,267,same,linear_model,14.285714285714285
0,easy,1,2,400,133,267,same,nearest_neighbors,16.541353383458645
0,easy,1,2,400,133,401,other,featureless,47.368421052631575
0,easy,1,2,400,133,401,other,linear_model,14.285714285714285
0,easy,1,2,400,133,401,other,nearest_neighbors,17.293233082706767
0,easy,1,2,400,133,267,all_small,featureless,52.63157894736842
0,easy,1,2,400,133,267,all_small,linear_model,12.030075187969924
0,easy,1,2,400,133,267,all_small,nearest_neighbors,15.789473684210526
0,easy,1,2,400,133,267,other_small,featureless,47.368421052631575
0,easy,1,2,400,133,267,other_small,linear_model,14.285714285714285
0,easy,1,2,400,133,267,other_small,nearest_neighbors,17.293233082706767
0,easy,1,3,100,33,668,all,featureless,63.63636363636363
0,easy,1,3,100,33,668,all,linear_model,6.0606060606060606
0,easy,1,3,100,33,668,all,nearest_neighbors,9.090909090909092
0,easy,1,3,100,33,67,same,featureless,63.63636363636363
0,easy,1,3,100,33,67,same,linear_model,3.0303030303030303
0,easy,1,3,100,33,67,same,nearest_neighbors,0.0
0,easy,1,3,100,33,601,other,featureless,63.63636363636363
0,easy,1,3,100,33,601,other,linear_model,3.0303030303030303
0,easy,1,3,100,33,601,other,nearest_neighbors,9.090909090909092
0,easy,1,3,100,33,67,all_small,featureless,36.36363636363637
0,easy,1,3,100,33,67,all_small,linear_model,3.0303030303030303
0,easy,1,3,100,33,67,all_small,nearest_neighbors,6.0606060606060606
0,easy,1,3,100,33,67,other_small,featureless,63.63636363636363
0,easy,1,3,100,33,67,other_small,linear_model,6.0606060606060606
0,easy,1,3,100,33,67,other_small,nearest_neighbors,3.0303030303030303
0,easy,1,4,100,33,668,all,featureless,57.57575757575758
0,easy,1,4,100,33,668,all,linear_model,9.090909090909092
0,easy,1,4,100,33,668,all,nearest_neighbors,9.090909090909092
0,easy,1,4,100,33,67,same,featureless,57.57575757575758
0,easy,1,4,100,33,67,same,linear_model,0.0
0,easy,1,4,100,33,67,same,nearest_neighbors,0.0
0,easy,1,4,100,33,601,other,featureless,57.57575757575758
0,easy,1,4,100,33,601,other,linear_model,12.121212121212121
0,easy,1,4,100,33,601,other,nearest_neighbors,12.121212121212121
0,easy,1,4,100,33,67,all_small,featureless,57.57575757575758
0,easy,1,4,100,33,67,all_small,linear_model,6.0606060606060606
0,easy,1,4,100,33,67,all_small,nearest_neighbors,3.0303030303030303
0,easy,1,4,100,33,67,other_small,featureless,42.42424242424242
0,easy,1,4,100,33,67,other_small,linear_model,15.151515151515152
0,easy,1,4,100,33,67,other_small,nearest_neighbors,18.181818181818183
0,easy,2,1,400,133,668,all,featureless,55.639097744360896
0,easy,2,1,400,133,668,all,linear_model,31.57894736842105
0,easy,2,1,400,133,668,all,nearest_neighbors,36.09022556390977
0,easy,2,1,400,133,267,same,featureless,55.639097744360896
0,easy,2,1,400,133,267,same,linear_model,33.83458646616541
0,easy,2,1,400,133,267,same,nearest_neighbors,33.83458646616541
0,easy,2,1,400,133,401,other,featureless,55.639097744360896
0,easy,2,1,400,133,401,other,linear_model,36.09022556390977
0,easy,2,1,400,133,401,other,nearest_neighbors,34.58646616541353
0,easy,2,1,400,133,267,all_small,featureless,55.639097744360896
0,easy,2,1,400,133,267,all_small,linear_model,31.57894736842105
0,easy,2,1,400,133,267,all_small,nearest_neighbors,32.33082706766917
0,easy,2,1,400,133,267,other_small,featureless,55.639097744360896
0,easy,2,1,400,133,267,other_small,linear_model,35.338345864661655
0,easy,2,1,400,133,267,other_small,nearest_neighbors,37.59398496240601
0,easy,2,2,400,133,668,all,featureless,44.3609022556391
0,easy,2,2,400,133,668,all,linear_model,15.037593984962406
0,easy,2,2,400,133,668,all,nearest_neighbors,16.541353383458645
0,easy,2,2,400,133,267,same,featureless,55.639097744360896
0,easy,2,2,400,133,267,same,linear_model,12.030075187969924
0,easy,2,2,400,133,267,same,nearest_neighbors,15.789473684210526
0,easy,2,2,400,133,401,other,featureless,44.3609022556391
0,easy,2,2,400,133,401,other,linear_model,16.541353383458645
0,easy,2,2,400,133,401,other,nearest_neighbors,16.541353383458645
0,easy,2,2,400,133,267,all_small,featureless,44.3609022556391
0,easy,2,2,400,133,267,all_small,linear_model,13.533834586466165
0,easy,2,2,400,133,267,all_small,nearest_neighbors,16.541353383458645
0,easy,2,2,400,133,267,other_small,featureless,44.3609022556391
0,easy,2,2,400,133,267,other_small,linear_model,17.293233082706767
0,easy,2,2,400,133,267,other_small,nearest_neighbors,19.548872180451127
0,easy,2,3,100,33,668,all,featureless,66.66666666666666
0,easy,2,3,100,33,668,all,linear_model,21.21212121212121
0,easy,2,3,100,33,668,all,nearest_neighbors,18.181818181818183
