,feature_name,test_fold,target_img,data_for_img,test_nrow,train_nrow,train_name,algorithm,error_percent
0,easy,2,3,100,33,67,same,featureless,66.66666666666666
0,easy,2,3,100,33,67,same,linear_model,12.121212121212121
0,easy,2,3,100,33,67,same,nearest_neighbors,15.151515151515152
0,easy,2,3,100,33,601,other,featureless,66.66666666666666
0,easy,2,3,100,33,601,other,linear_model,21.21212121212121
0,easy,2,3,100,33,601,other,nearest_neighbors,21.21212121212121
0,easy,2,3,100,33,67,all_small,featureless,33.33333333333333
0,easy,2,3,100,33,67,all_small,linear_model,18.181818181818183
0,easy,2,3,100,33,67,all_small,nearest_neighbors,21.21212121212121
0,easy,2,3,100,33,67,other_small,featureless,66.66666666666666
0,easy,2,3,100,33,67,other_small,linear_model,21.21212121212121
0,easy,2,3,100,33,67,other_small,nearest_neighbors,12.121212121212121
0,easy,2,4,100,33,668,all,featureless,57.57575757575758
0,easy,2,4,100,33,668,all,linear_model,15.151515151515152
0,easy,2,4,100,33,668,all,nearest_neighbors,15.151515151515152
0,easy,2,4,100,33,67,same,featureless,57.57575757575758
0,easy,2,4,100,33,67,same,linear_model,3.0303030303030303
0,easy,2,4,100,33,67,same,nearest_neighbors,3.0303030303030303
0,easy,2,4,100,33,601,other,featureless,57.57575757575758
0,easy,2,4,100,33,601,other,linear_model,15.151515151515152
0,easy,2,4,100,33,601,other,nearest_neighbors,18.181818181818183
0,easy,2,4,100,33,67,all_small,featureless,42.42424242424242
0,easy,2,4,100,33,67,all_small,linear_model,12.121212121212121
0,easy,2,4,100,33,67,all_small,nearest_neighbors,9.090909090909092
0,easy,2,4,100,33,67,other_small,featureless,42.42424242424242
0,easy,2,4,100,33,67,other_small,linear_model,9.090909090909092
0,easy,2,4,100,33,67,other_small,nearest_neighbors,12.121212121212121
0,impossible,0,1,400,134,664,all,featureless,49.25373134328358
0,impossible,0,1,400,134,664,all,linear_model,43.28358208955223
0,impossible,0,1,400,134,664,all,nearest_neighbors,43.28358208955223
0,impossible,0,1,400,134,266,same,featureless,50.74626865671642
0,impossible,0,1,400,134,266,same,linear_model,26.865671641791046
0,impossible,0,1,400,134,266,same,nearest_neighbors,34.32835820895522
0,impossible,0,1,400,134,398,other,featureless,49.25373134328358
0,impossible,0,1,400,134,398,other,linear_model,54.47761194029851
0,impossible,0,1,400,134,398,other,nearest_neighbors,52.23880597014925
0,impossible,0,1,400,134,266,all_small,featureless,49.25373134328358
0,impossible,0,1,400,134,266,all_small,linear_model,39.55223880597015
0,impossible,0,1,400,134,266,all_small,nearest_neighbors,38.80597014925373
0,impossible,0,1,400,134,266,other_small,featureless,50.74626865671642
0,impossible,0,1,400,134,266,other_small,linear_model,55.223880597014926
0,impossible,0,1,400,134,266,other_small,nearest_neighbors,57.46268656716418
0,impossible,0,2,400,134,664,all,featureless,52.98507462686567
0,impossible,0,2,400,134,664,all,linear_model,23.88059701492537
0,impossible,0,2,400,134,664,all,nearest_neighbors,32.08955223880597
0,impossible,0,2,400,134,266,same,featureless,52.98507462686567
0,impossible,0,2,400,134,266,same,linear_model,20.8955223880597
0,impossible,0,2,400,134,266,same,nearest_neighbors,26.119402985074625
0,impossible,0,2,400,134,398,other,featureless,47.01492537313433
0,impossible,0,2,400,134,398,other,linear_model,42.53731343283582
0,impossible,0,2,400,134,398,other,nearest_neighbors,41.7910447761194
0,impossible,0,2,400,134,266,all_small,featureless,52.98507462686567
0,impossible,0,2,400,134,266,all_small,linear_model,23.134328358208954
0,impossible,0,2,400,134,266,all_small,nearest_neighbors,30.597014925373134
0,impossible,0,2,400,134,266,other_small,featureless,47.01492537313433
0,impossible,0,2,400,134,266,other_small,linear_model,46.26865671641791
0,impossible,0,2,400,134,266,other_small,nearest_neighbors,42.53731343283582
0,impossible,0,3,100,34,664,all,featureless,47.05882352941176
0,impossible,0,3,100,34,664,all,linear_model,35.294117647058826
0,impossible,0,3,100,34,664,all,nearest_neighbors,38.23529411764706
0,impossible,0,3,100,34,66,same,featureless,52.94117647058824
0,impossible,0,3,100,34,66,same,linear_model,11.76470588235294
0,impossible,0,3,100,34,66,same,nearest_neighbors,11.76470588235294
0,impossible,0,3,100,34,598,other,featureless,47.05882352941176
0,impossible,0,3,100,34,598,other,linear_model,47.05882352941176
0,impossible,0,3,100,34,598,other,nearest_neighbors,52.94117647058824
0,impossible,0,3,100,34,66,all_small,featureless,52.94117647058824
0,impossible,0,3,100,34,66,all_small,linear_model,41.17647058823529
0,impossible,0,3,100,34,66,all_small,nearest_neighbors,55.88235294117647
0,impossible,0,3,100,34,66,other_small,featureless,47.05882352941176
0,impossible,0,3,100,34,66,other_small,linear_model,38.23529411764706
0,impossible,0,3,100,34,66,other_small,nearest_neighbors,58.82352941176471
0,impossible,0,4,100,34,664,all,featureless,50.0
0,impossible,0,4,100,34,664,all,linear_model,32.35294117647059
0,impossible,0,4,100,34,664,all,nearest_neighbors,8.823529411764707
0,impossible,0,4,100,34,66,same,featureless,50.0
0,impossible,0,4,100,34,66,same,linear_model,8.823529411764707
0,impossible,0,4,100,34,66,same,nearest_neighbors,8.823529411764707
0,impossible,0,4,100,34,598,other,featureless,50.0
0,impossible,0,4,100,34,598,other,linear_model,47.05882352941176
0,impossible,0,4,100,34,598,other,nearest_neighbors,52.94117647058824
0,impossible,0,4,100,34,66,all_small,featureless,50.0
0,impossible,0,4,100,34,66,all_small,linear_model,29.411764705882355
0,impossible,0,4,100,34,66,all_small,nearest_neighbors,17.647058823529413
0,impossible,0,4,100,34,66,other_small,featureless,50.0
0,impossible,0,4,100,34,66,other_small,linear_model,41.17647058823529
0,impossible,0,4,100,34,66,other_small,nearest_neighbors,55.88235294117647
0,impossible,1,1,400,133,668,all,featureless,54.88721804511278
0,impossible,1,1,400,133,668,all,linear_model,39.849624060150376
0,impossible,1,1,400,133,668,all,nearest_neighbors,34.58646616541353
0,impossible,1,1,400,133,267,same,featureless,54.88721804511278
0,impossible,1,1,400,133,267,same,linear_model,31.57894736842105
0,impossible,1,1,400,133,267,same,nearest_neighbors,35.338345864661655
0,impossible,1,1,400,133,401,other,featureless,54.88721804511278
0,impossible,1,1,400,133,401,other,linear_model,48.87218045112782
0,impossible,1,1,400,133,401,other,nearest_neighbors,48.1203007518797
0,impossible,1,1,400,133,267,all_small,featureless,54.88721804511278
0,impossible,1,1,400,133,267,all_small,linear_model,44.3609022556391
0,impossible,1,1,400,133,267,all_small,nearest_neighbors,39.849624060150376
0,impossible,1,1,400,133,267,other_small,featureless,54.88721804511278
0,impossible,1,1,400,133,267,other_small,linear_model,50.37593984962406
0,impossible,1,1,400,133,267,other_small,nearest_neighbors,50.37593984962406
0,impossible,1,2,400,133,668,all,featureless,47.368421052631575
0,impossible,1,2,400,133,668,all,linear_model,20.30075187969925
0,impossible,1,2,400,133,668,all,nearest_neighbors,27.819548872180448
0,impossible,1,2,400,133,267,same,featureless,52.63157894736842
0,impossible,1,2,400,133,267,same,linear_model,15.789473684210526
0,impossible,1,2,400,133,267,same,nearest_neighbors,14.285714285714285
0,impossible,1,2,400,133,401,other,featureless,47.368421052631575
0,impossible,1,2,400,133,401,other,linear_model,54.13533834586466
0,impossible,1,2,400,133,401,other,nearest_neighbors,57.89473684210527
0,impossible,1,2,400,133,267,all_small,featureless,52.63157894736842
0,impossible,1,2,400,133,267,all_small,linear_model,24.06015037593985
0,impossible,1,2,400,133,267,all_small,nearest_neighbors,27.819548872180448
0,impossible,1,2,400,133,267,other_small,featureless,47.368421052631575
0,impossible,1,2,400,133,267,other_small,linear_model,52.63157894736842
0,impossible,1,2,400,133,267,other_small,nearest_neighbors,50.37593984962406
0,impossible,1,3,100,33,668,all,featureless,63.63636363636363
0,impossible,1,3,100,33,668,all,linear_model,36.36363636363637
0,impossible,1,3,100,33,668,all,nearest_neighbors,15.151515151515152
0,impossible,1,3,100,33,67,same,featureless,63.63636363636363
0,impossible,1,3,100,33,67,same,linear_model,6.0606060606060606
0,impossible,1,3,100,33,67,same,nearest_neighbors,3.0303030303030303
0,impossible,1,3,100,33,601,other,featureless,63.63636363636363
0,impossible,1,3,100,33,601,other,linear_model,60.60606060606061
0,impossible,1,3,100,33,601,other,nearest_neighbors,39.39393939393939
0,impossible,1,3,100,33,67,all_small,featureless,63.63636363636363
0,impossible,1,3,100,33,67,all_small,linear_model,18.181818181818183
0,impossible,1,3,100,33,67,all_small,nearest_neighbors,21.21212121212121
0,impossible,1,3,100,33,67,other_small,featureless,63.63636363636363
0,impossible,1,3,100,33,67,other_small,linear_model,66.66666666666666
0,impossible,1,3,100,33,67,other_small,nearest_neighbors,66.66666666666666
0,impossible,1,4,100,33,668,all,featureless,57.57575757575758
0,impossible,1,4,100,33,668,all,linear_model,24.242424242424242
0,impossible,1,4,100,33,668,all,nearest_neighbors,15.151515151515152
0,impossible,1,4,100,33,67,same,featureless,57.57575757575758
0,impossible,1,4,100,33,67,same,linear_model,9.090909090909092
0,impossible,1,4,100,33,67,same,nearest_neighbors,6.0606060606060606
0,impossible,1,4,100,33,601,other,featureless,57.57575757575758
0,impossible,1,4,100,33,601,other,linear_model,51.515151515151516
0,impossible,1,4,100,33,601,other,nearest_neighbors,66.66666666666666
0,impossible,1,4,100,33,67,all_small,featureless,57.57575757575758
0,impossible,1,4,100,33,67,all_small,linear_model,42.42424242424242
0,impossible,1,4,100,33,67,all_small,nearest_neighbors,36.36363636363637
0,impossible,1,4,100,33,67,other_small,featureless,57.57575757575758
0,impossible,1,4,100,33,67,other_small,linear_model,51.515151515151516
0,impossible,1,4,100,33,67,other_small,nearest_neighbors,63.63636363636363
0,impossible,2,1,400,133,668,all,featureless,55.639097744360896
0,impossible,2,1,400,133,668,all,linear_model,42.857142857142854
0,impossible,2,1,400,133,668,all,nearest_neighbors,33.08270676691729
0,impossible,2,1,400,133,267,same,featureless,55.639097744360896
0,impossible,2,1,400,133,267,same,linear_model,33.08270676691729
0,impossible,2,1,400,133,267,same,nearest_neighbors,32.33082706766917
0,impossible,2,1,400,133,401,other,featureless,55.639097744360896
0,impossible,2,1,400,133,401,other,linear_model,53.383458646616546
0,impossible,2,1,400,133,401,other,nearest_neighbors,51.8796992481203
0,impossible,2,1,400,133,267,all_small,featureless,44.3609022556391
0,impossible,2,1,400,133,267,all_small,linear_model,46.616541353383454
0,impossible,2,1,400,133,267,all_small,nearest_neighbors,46.616541353383454
0,impossible,2,1,400,133,267,other_small,featureless,55.639097744360896
0,impossible,2,1,400,133,267,other_small,linear_model,51.8796992481203
0,impossible,2,1,400,133,267,other_small,nearest_neighbors,49.62406015037594
0,impossible,2,2,400,133,668,all,featureless,44.3609022556391
0,impossible,2,2,400,133,668,all,linear_model,27.819548872180448
0,impossible,2,2,400,133,668,all,nearest_neighbors,30.075187969924812
0,impossible,2,2,400,133,267,same,featureless,55.639097744360896
0,impossible,2,2,400,133,267,same,linear_model,15.789473684210526
0,impossible,2,2,400,133,267,same,nearest_neighbors,19.548872180451127
0,impossible,2,2,400,133,401,other,featureless,44.3609022556391
0,impossible,2,2,400,133,401,other,linear_model,54.88721804511278
0,impossible,2,2,400,133,401,other,nearest_neighbors,60.150375939849624
0,impossible,2,2,400,133,267,all_small,featureless,55.639097744360896
0,impossible,2,2,400,133,267,all_small,linear_model,28.57142857142857
0,impossible,2,2,400,133,267,all_small,nearest_neighbors,22.55639097744361
0,impossible,2,2,400,133,267,other_small,featureless,44.3609022556391
0,impossible,2,2,400,133,267,other_small,linear_model,52.63157894736842
0,impossible,2,2,400,133,267,other_small,nearest_neighbors,56.390977443609025
0,impossible,2,3,100,33,668,all,featureless,66.66666666666666
0,impossible,2,3,100,33,668,all,linear_model,30.303030303030305
0,impossible,2,3,100,33,668,all,nearest_neighbors,21.21212121212121
0,impossible,2,3,100,33,67,same,featureless,66.66666666666666
0,impossible,2,3,100,33,67,same,linear_model,6.0606060606060606
0,impossible,2,3,100,33,67,same,nearest_neighbors,15.151515151515152
0,impossible,2,3,100,33,601,other,featureless,66.66666666666666
0,impossible,2,3,100,33,601,other,linear_model,27.27272727272727
0,impossible,2,3,100,33,601,other,nearest_neighbors,36.36363636363637
0,impossible,2,3,100,33,67,all_small,featureless,33.33333333333333
0,impossible,2,3,100,33,67,all_small,linear_model,24.242424242424242
0,impossible,2,3,100,33,67,all_small,nearest_neighbors,33.33333333333333
0,impossible,2,3,100,33,67,other_small,featureless,66.66666666666666
0,impossible,2,3,100,33,67,other_small,linear_model,36.36363636363637
0,impossible,2,3,100,33,67,other_small,nearest_neighbors,15.151515151515152
0,impossible,2,4,100,33,668,all,featureless,57.57575757575758
0,impossible,2,4,100,33,668,all,linear_model,39.39393939393939
0,impossible,2,4,100,33,668,all,nearest_neighbors,15.151515151515152
0,impossible,2,4,100,33,67,same,featureless,57.57575757575758
0,impossible,2,4,100,33,67,same,linear_model,6.0606060606060606
0,impossible,2,4,100,33,67,same,nearest_neighbors,6.0606060606060606
0,impossible,2,4,100,33,601,other,featureless,57.57575757575758
0,impossible,2,4,100,33,601,other,linear_model,45.45454545454545
0,impossible,2,4,100,33,601,other,nearest_neighbors,48.484848484848484
0,impossible,2,4,100,33,67,all_small,featureless,57.57575757575758
0,impossible,2,4,100,33,67,all_small,linear_model,42.42424242424242
0,impossible,2,4,100,33,67,all_small,nearest_neighbors,36.36363636363637
0,impossible,2,4,100,33,67,other_small,featureless,57.57575757575758
0,impossible,2,4,100,33,67,other_small,linear_model,36.36363636363637
0,impossible,2,4,100,33,67,other_small,nearest_neighbors,21.21212121212121
